Votes for Registered Parties by Electorate
,ACT NEW ZEALAND,AOTEAROA LEGALISE CANNABIS PARTY,BAN1080,CONSERVATIVE,DEMOCRATS FOR SOCIAL CREDIT,FOCUS NEW ZEALAND,GREEN PARTY,INTERNET MANA,LABOUR PARTY,MĀORI PARTY,NATIONAL PARTY,NEW ZEALAND FIRST PARTY,NZ INDEPENDENT COALITION,THE CIVILIAN PARTY,UNITED FUTURE,"Total Valid Party Votes","Informal Party Votes"
"ElectorateDistrict"
"Auckland Central",329,85,10,486,3,2,6242,553,6101,158,12652,1459,7,17,53,28157,99
"Bay of Plenty",90,126,50,2072,33,6,2645,187,4783,207,21096,5100,104,10,78,36587,88
"Botany",808,90,12,1519,5,6,1461,204,7473,71,20016,1825,9,8,49,33556,128
"Christchurch Central",167,165,27,1065,30,1,5419,353,8995,157,15301,2462,3,40,79,34264,108
"Christchurch East",107,186,38,1058,20,1,4113,286,10450,129,12928,3069,11,19,74,32489,141
"Clutha-Southland",122,184,268,1726,36,0,2647,158,5036,113,21694,2135,32,10,68,34229,107
"Coromandel",142,139,112,2004,20,7,3724,259,5960,184,20547,4741,17,11,64,37931,117
"Dunedin North",111,172,60,956,37,1,8035,603,11147,124,11302,2364,7,27,86,35032,99
"Dunedin South",125,171,77,1104,80,7,4626,307,12518,95,15003,3429,5,18,63,37628,161
"East Coast",82,150,122,1438,30,4,3248,413,8022,334,17152,4176,17,13,78,35279,148
"East Coast Bays",580,95,47,2210,17,3,2712,222,4005,125,20895,1964,4,20,69,32968,73
"Epsom",1023,76,7,932,10,4,4706,312,5045,174,23904,1308,3,17,61,37582,93
"Hamilton East",250,110,28,1672,29,5,3833,348,8264,222,17395,2481,3,23,104,34767,167
"Hamilton West",160,171,38,1571,43,7,2765,242,8649,190,16072,3644,13,18,87,33670,159
"Helensville",262,161,48,1692,23,3,4801,338,4430,192,20689,2608,13,8,93,35361,73
"Hunua",313,136,46,1807,19,4,2076,166,4699,144,22929,3437,4,14,82,35876,117
"Hutt South",256,160,58,1391,11,6,4966,281,10903,207,17648,2913,7,19,136,38962,199
"Ilam",349,96,21,1300,14,3,4574,233,6238,171,20377,1806,7,23,92,35304,73
"Invercargill",113,224,173,1256,95,10,2581,210,8553,110,16880,3806,11,23,68,34113,153
"Kaikōura",144,151,187,1709,36,8,3366,169,6269,131,20770,3612,8,13,96,36669,122
"Kelston",308,108,13,910,8,7,3298,432,12934,94,9924,2595,7,15,48,30701,179
"Mana",79,173,21,977,24,3,4691,351,12601,226,14850,2493,5,28,116,36638,155
"Māngere",68,86,10,839,7,3,1084,324,18470,124,4281,2008,5,3,26,27338,259
"Manukau East",179,76,4,553,4,7,971,276,16925,84,5392,2072,4,4,18,26569,502
"Manurewa",158,102,15,776,6,1,1092,315,14579,191,7612,2609,0,10,24,27490,197
"Maungakiekie",512,113,11,1095,8,8,3270,377,12199,187,14394,2283,10,14,80,34561,270
"Mt Albert",356,93,12,719,7,6,8005,603,10823,178,14359,1512,5,11,57,36746,176
"Mt Roskill",610,74,17,1240,10,6,3279,304,12086,132,14275,1805,6,8,69,33921,176
"Napier",103,153,58,2270,27,6,3198,219,9466,160,18005,2709,7,16,63,36460,145
"Nelson",151,202,386,2094,47,6,5381,317,9401,125,16904,2918,11,12,95,38050,124
"New Lynn",542,101,16,1233,33,3,3365,367,12085,119,13136,2403,8,17,56,33484,177
"New Plymouth",172,218,57,1201,28,4,3005,263,7947,199,20969,3395,10,19,66,37553,128
"North Shore",545,103,13,1673,34,2,4118,250,5473,174,23762,2246,4,12,98,38507,78
"Northcote",573,122,17,1522,20,4,4099,336,7803,162,17900,2584,10,26,121,35299,117
"Northland",162,193,51,2243,64,216,3855,601,5913,210,17412,4546,9,7,71,35553,154
"Ōhāriu",250,146,15,1118,22,4,5623,258,8771,215,18810,1781,9,29,273,37324,126
"Ōtaki",111,138,61,1695,19,6,3635,249,9543,169,18854,3827,19,12,74,38412,298
"Pakuranga",1021,109,11,1930,8,4,2192,214,5511,108,20854,2456,8,16,78,34520,101
"Palmerston North",175,123,30,1549,10,7,3390,330,10632,166,14835,2973,10,24,80,34334,93
"Papakura",218,124,23,1431,9,5,1801,275,8967,172,17733,3737,4,20,60,34579,186
"Port Hills",175,120,33,1241,41,4,6812,298,9514,160,18719,2641,1,26,80,39865,105
"Rangitata",165,217,84,1580,24,9,2715,142,8064,94,20108,2848,13,20,114,36197,154
"Rangitīkei",131,151,106,2115,15,7,2709,208,6408,195,18596,3914,12,23,75,34665,119
"Rimutaka",126,194,84,1492,14,4,3154,324,12176,149,15352,3806,19,19,122,37035,159
"Rodney",192,123,29,2661,15,5,3351,231,4847,142,24051,3575,12,8,81,39323,91
"Rongotai",120,131,19,623,9,3,10176,568,11754,237,12606,2097,7,21,143,38514,217
"Rotorua",142,160,101,1361,16,4,2289,272,7181,486,17660,4139,33,11,72,33927,122
"Selwyn",139,120,78,1253,10,5,3910,184,4654,111,22809,2494,5,16,87,35875,65
"Tāmaki",504,106,8,1122,10,13,3232,263,5431,175,24091,1619,12,15,69,36670,78
"Taranaki-King Country",120,163,156,1907,20,8,2422,191,4483,185,20637,3182,9,11,85,33579,99
"Taupō",91,148,223,1729,29,7,2224,190,6752,298,20703,3730,10,13,94,36241,121
"Tauranga",134,110,12,2146,17,3,2645,180,5361,222,20728,5387,96,7,94,37142,152
"Te Atatū",450,122,12,1243,9,0,2684,380,11603,142,13614,2784,12,5,52,33112,223
"Tukituki",144,150,50,2357,18,5,3078,244,8205,185,18680,2731,4,12,59,35922,135
"Upper Harbour",450,129,13,1613,4,4,2329,286,7803,119,18122,2311,7,14,69,33273,130
"Waikato",191,180,89,2053,38,6,2075,178,5303,196,21598,3870,10,8,78,35873,127
"Waimakariri",80,127,69,1560,69,5,3198,141,6835,95,20734,3054,6,15,66,36054,114
"Wairarapa",124,175,142,1622,7,4,3134,164,7712,209,19634,4393,8,22,59,37409,116
"Waitaki",106,208,143,1741,86,5,4386,159,7162,104,22656,2763,10,16,94,39639,130
"Wellington Central",274,127,20,590,26,5,11545,578,9306,300,14689,1399,5,49,117,39030,101
"West Coast-Tasman",94,210,942,1837,25,7,4658,271,8438,102,16058,3123,14,11,71,35861,192
"Whanganui",167,190,56,1771,57,14,2546,259,9012,205,16687,4221,13,22,75,35295,112
"Whangarei",205,183,38,1925,116,34,3611,386,6575,196,18503,4936,15,16,93,36832,117
"Wigram",317,154,41,1102,30,5,3919,231,8764,145,13117,2618,7,31,86,30567,136
"General Electorate Totals",16467,9103,4818,94680,1691,562,240694,18833,543012,10885,1119663,188926,776,1065,5188,2256363,9181
"Hauraki-Waikato",43,306,34,159,5,10,2043,1689,9724,2504,1583,2796,1,3,14,20914,302
"Ikaroa-Rāwhiti",24,313,25,130,2,4,2275,2152,10489,2699,1189,2490,11,2,6,21811,325
"Tāmaki Makaurau",39,200,5,128,1,6,2438,2234,8432,2651,1575,2914,4,1,16,20644,204
"Te Tai Hauāuru",27,281,43,116,3,1,2442,1395,8642,3611,1456,2412,15,6,15,20465,234
"Te Tai Tokerau",37,254,19,154,11,45,2278,4246,8034,2300,1938,3296,16,5,18,22651,257
"Te Tai Tonga",35,282,99,153,15,3,3402,1021,7607,2319,2977,2657,8,9,18,20605,125
"Waiariki",17,222,70,78,2,8,1787,2524,8595,4880,1120,2809,41,5,11,22169,229
"Maori Electorate Totals",222,1858,295,918,39,77,16665,15261,61523,20964,11838,19374,96,31,98,149259,1676
"Combined Totals",16689,10961,5113,95598,1730,639,257359,34094,604535,31849,1131501,208300,872,1096,5286,2405622,10857
